time, position, OryConc, AV, CPUTemp, SensorTemp, packet_id, 
00:51:15,  position 2, -20557.3, , 43.5, 40.2, 50, 
00:52:16,  position 2, -20578.7, , 42.9, 40.2, 51, 
00:53:15,  position 2, -20825.6, , 42.9, 40.1, 52, 
00:54:15,  position 2, -20822.7, , 43.5, 40.1, 53, 
00:55:14,  position 2, -20814.9, , 43.5, 40.1, 54, 
00:56:14,  position 2, -20865.9, , 43.5, 40.1, 55, 
00:57:14,  position 2, -20546.5, , 43.5, 0.0, 56, 
00:58:15,  position 2, -20632.8, , 42.9, 40.0, 57, 
00:59:14,  position 2, -21081.9, , 43.5, 40.0, 58, 
01:00:15,  position 2, -22036.5, , 43.5, 40.0, 59, 
01:01:14,  position 2, -22403.0, , 43.5, 40.0, 60, 
01:02:17,  position 2, -22256.1, , 43.5, 39.9, 61, 
01:03:16,  position 2, -22222.1, , 42.9, 39.9, 62, 
01:04:14,  position 2, -21746.5, , 42.9, 39.9, 63, 
01:05:17,  position 2, -22302.3, , 42.9, 39.8, 64, 
01:06:14,  position 2, -22537.0, , 43.5, 39.8, 65, 
01:07:15,  position 2, -22571.0, , 42.9, 0.0, 66, 
01:08:17,  position 2, -22452.7, , 42.9, 39.7, 67, 
01:09:14,  position 2, -22412.7, , 42.9, 0.0, 68, 
01:10:15,  position 2, -22388.3, , 42.9, 39.6, 69, 
01:11:14,  position 2, -22369.0, , 42.9, 0.0, 70, 
01:12:15,  position 2, -22469.1, , 42.9, 39.6, 71, 
01:13:14,  position 2, -22030.1, , 42.9, 39.5, 72, 
01:14:16,  position 2, -22031.1, , 43.5, 0.0, 73, 
01:15:14,  position 2, -22218.7, , 42.9, 39.5, 74, 
01:16:16,  position 2, -22231.9, , 42.9, 0.0, 75, 
01:17:14,  position 2, -22122.9, , 42.9, 0.0, 76, 
01:18:14,  position 2, -22103.5, , 42.9, 0.0, 77, 
01:19:14,  position 2, -22052.5, , 42.9, 0.0, 78, 
01:20:14,  position 2, -22122.9, , 42.9, 39.4, 79, 
01:21:16,  position 2, -22110.0, , 42.9, 39.4, 80, 
01:22:14,  position 2, -22177.1, , 42.9, 39.4, 81, 
01:23:14,  position 2, -22333.5, , 43.5, 39.5, 82, 
01:24:15,  position 2, -22764.0, , 42.9, 0.0, 83, 
01:25:14,  position 2, -22666.4, , 42.9, 39.5, 84, 
01:26:14,  position 2, -22647.6, , 42.9, 39.5, 85, 
01:27:17,  position 2, -22700.5, , 42.9, 39.4, 86, 
01:28:14,  position 2, -23068.6, , 43.5, 39.4, 87, 
01:29:14,  position 2, -23044.4, , 42.9, 39.4, 88, 
01:30:16,  position 2, -22761.0, , 42.9, 39.4, 89, 
01:31:14,  position 2, -23027.0, , 43.5, 39.4, 90, 
01:32:14,  position 2, -23298.7, , 42.9, 39.4, 91, 
01:33:14,  position 2, -23383.4, , 43.5, 39.4, 92, 
01:34:14,  position 2, -23350.9, , 42.9, 39.4, 93, 
01:35:14,  position 2, -23441.7, , 42.9, 39.3, 94, 
01:36:14,  position 2, -23270.4, , 42.9, 39.3, 95, 
01:37:14,  position 2, -23100.7, , 42.9, 0.0, 96, 
01:38:15,  position 2, -23003.0, , 42.9, 39.4, 97, 
01:39:14,  position 2, -23138.4, , 42.9, 39.4, 98, 
01:40:14,  position 2, -23089.9, , 43.5, 39.4, 99, 
01:41:14,  position 2, -23021.9, , 42.9, 39.4, 100, 
01:42:14,  position 2, -22938.4, , 43.5, 39.4, 101, 
01:43:14,  position 2, -23160.8, , 42.9, 39.4, 102, 
01:44:14,  position 2, -23316.4, , 42.9, 39.4, 103, 
01:45:14,  position 2, -23389.6, , 42.9, 0.0, 104, 
01:46:14,  position 2, -23434.8, , 42.9, 0.0, 105, 
01:47:14,  position 2, -23205.7, , 42.9, 0.0, 106, 
01:48:14,  position 2, -23211.8, , 42.9, 39.4, 107, 
01:49:15,  position 2, -23876.0, , 42.9, 39.4, 108, 
01:50:14,  position 2, -23903.8, , 42.9, 39.4, 109, 
01:51:16,  position 2, -23222.3, , 42.9, 39.4, 110, 
01:52:14,  position 2, -23168.7, , 42.9, 0.0, 111, 
01:53:15,  position 2, -23078.8, , 42.9, 39.4, 112, 
01:54:14,  position 2, -23386.8, , 42.9, 39.4, 113, 
01:55:14,  position 2, -23566.7, , 42.9, 39.4, 114, 
01:56:16,  position 2, -23356.6, , 42.9, 39.4, 115, 
01:57:14,  position 2, -23549.5, , 42.9, 0.0, 116, 
01:58:14,  position 2, -23354.8, , 42.9, 39.4, 117, 
01:59:15,  position 2, -23314.6, , 43.5, 39.4, 118, 
02:00:16,  position 2, -23298.0, , 43.5, 39.4, 119, 
02:01:14,  position 2, -23369.0, , 42.9, 39.5, 120, 
02:02:14,  position 2, -23235.0, , 43.5, 39.5, 121, 
02:03:15,  position 2, -23258.1, , 42.9, 0.0, 122, 
02:04:16,  position 2, -23217.5, , 42.9, 39.5, 123, 
02:05:14,  position 2, -23244.3, , 42.9, 39.5, 124, 
02:06:14,  position 2, -23376.2, , 43.5, 39.5, 125, 
02:07:14,  position 2, -23417.1, , 43.5, 0.0, 126, 
02:08:14,  position 2, -23717.5, , 42.9, 0.0, 127, 
02:09:14,  position 2, -23761.4, , 42.9, 0.0, 128, 
02:10:14,  position 2, -23454.7, , 42.9, 39.6, 129, 
02:11:17,  position 2, -24305.9, , 42.9, 39.6, 130, 
02:12:15,  position 2, -24395.7, , 42.9, 0.0, 131, 
02:13:15,  position 2, -23776.0, , 42.9, 39.6, 132, 
02:14:14,  position 2, -23618.1, , 43.5, 39.6, 133, 
02:56:14,  position 2, -24097.8, , 44.0, 40.2, 175, 
02:57:16,  position 2, -24068.0, , 44.0, 40.2, 176, 
03:21:14,  position 2, -24663.5, , 43.5, 40.1, 200, 
03:22:14,  position 2, -24507.9, , 44.0, 40.1, 201, 
03:23:14,  position 2, -24238.1, , 44.0, 0.0, 202, 
03:24:15,  position 2, -24374.2, , 44.0, 40.1, 203, 
03:46:14,  position 2, -24833.0, , 43.5, 0.0, 225, 
04:11:16,  position 2, -26252.4, , 42.9, 39.4, 250, 
20:26:10, position 2, -24810.2, , 44.01, 40.75, 1051, 
20:27:09, position 2, -24752.6, , 44.01, 40.78, 1052, 
20:28:09, position 2, -24609.1, , 44.01, 40.80, 1053, 
00:01:16,  position 2, -17174.5, , 42.9, 40.2, 0, 
00:02:14,  position 2, -17203.6, , 42.9, 40.1, 1, 
03:47:14,  position 2, -24798.3, , 44.0, 40.0, 226, 
04:12:17,  position 2, -26126.3, , 42.9, 39.3, 251, 
04:36:14,  position 2, -26320.3, , 42.9, 0.0, 275, 
04:37:16,  position 2, -26463.2, , 42.9, 39.4, 276, 
02:15:14,  position 2, -23522.2, , 43.5, 0.0, 134, 
02:16:15,  position 2, -23494.5, , 42.9, 39.6, 135, 
02:17:17,  position 2, -23391.8, , 42.9, 39.6, 136, 
02:18:14,  position 2, -23398.3, , 44.0, 39.6, 137, 
02:19:14,  position 2, -23476.1, , 43.5, 39.6, 138, 
00:26:14,  position 2, -18852.1, , 44.0, 40.2, 25, 
00:27:15,  position 2, -18917.8, , 44.0, 40.2, 26, 
00:28:16,  position 2, -18796.0, , 44.0, 40.2, 27, 
00:03:14,  position 2, -17106.8, , 42.9, 0.0, 2, 
00:04:14,  position 2, -17218.9, , 42.9, 0.0, 3, 
00:29:14,  position 2, -18897.2, , 44.0, 40.2, 28, 
00:30:14,  position 2, -19032.4, , 43.5, 40.2, 29, 
00:31:14,  position 2, -19155.5, , 44.0, 40.3, 30, 
00:32:16,  position 2, -19541.9, , 44.0, 0.0, 31, 
00:33:14,  position 2, -19717.5, , 44.5, 40.3, 32, 
00:34:16,  position 2, -19652.3, , 44.0, 0.0, 33, 
00:35:14,  position 2, -19826.7, , 44.0, 40.3, 34, 
00:36:14,  position 2, -19994.8, , 44.0, 0.0, 35, 
00:37:14,  position 2, -19908.6, , 43.5, 0.0, 36, 
00:38:14,  position 2, -20110.8, , 42.9, 0.0, 37, 
00:39:14,  position 2, -20119.9, , 43.5, 40.3, 38, 
00:40:15,  position 2, -20168.9, , 43.5, 0.0, 39, 
02:40:16,  position 2, -23577.7, , 44.0, 40.0, 159, 
02:41:14,  position 2, -23926.0, , 44.0, 0.0, 160, 
02:42:14,  position 2, -23884.3, , 44.0, 40.0, 161, 
02:43:16,  position 2, -23712.0, , 43.5, 0.0, 162, 
02:44:14,  position 2, -23787.4, , 43.5, 40.1, 163, 
02:45:14,  position 2, -23526.9, , 44.0, 0.0, 164, 
02:46:14,  position 2, -23632.9, , 43.5, 0.0, 165, 
03:05:14,  position 2, -23882.9, , 43.5, 40.1, 184, 
03:06:15,  position 2, -23983.9, , 43.5, 40.1, 185, 
